iter	Logloss
0	0.4332682009
1	0.3248054034
2	0.286662635
3	0.2613523848
4	0.244422928
5	0.2364415939
6	0.2292250275
7	0.224092551
8	0.2178544063
9	0.2150177642
10	0.2100241828
11	0.207185346
12	0.2030076277
13	0.2007814915
14	0.1979058731
15	0.1955372393
16	0.1927995248
17	0.1904883852
18	0.1883363483
19	0.1872209292
20	0.1858989959
21	0.1840215477
22	0.1826782304
23	0.1813705375
24	0.1789175869
25	0.1770731711
26	0.1758239677
27	0.1736251688
28	0.1725265322
29	0.1717662252
30	0.1707820757
31	0.1693575254
32	0.1671571124
33	0.1658006944
34	0.1649111197
35	0.1636713489
36	0.1617818992
37	0.160274521
38	0.1594313379
39	0.1577471703
40	0.1564068288
41	0.1548851561
42	0.1537840007
43	0.152278418
44	0.1506228837
45	0.1493062828
46	0.1480750845
47	0.1472734426
48	0.1458575342
49	0.1447192097
50	0.1439549761
51	0.1430412732
52	0.1424620544
53	0.140778531
54	0.1394560904
55	0.1380247284
56	0.1370696559
57	0.1355362247
58	0.134436508
59	0.1338748488
60	0.1332968547
61	0.1323633454
62	0.1311101132
63	0.1305479815
64	0.1295348554
65	0.1284308284
66	0.1278202493
67	0.1270648505
68	0.1262078126
69	0.1253258133
70	0.1245829907
71	0.1239284211
72	0.1235766782
73	0.1227552377
74	0.1217867501
75	0.120639099
76	0.1198614909
77	0.1191833947
78	0.1181987149
79	0.1173216836
80	0.1160917388
81	0.1154747954
82	0.1150385391
83	0.1147556536
84	0.1140417517
85	0.1132130107
86	0.1125623936
87	0.1117219558
88	0.1107399664
89	0.1099675104
90	0.1095692265
91	0.1088013702
92	0.1081424391
93	0.107499543
94	0.1066334448
95	0.1058324239
96	0.1052638344
97	0.1051539449
98	0.1045034542
99	0.1039417882
